PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
608372,Tomoyuki Sugano,Colorado Rockies,P,27,27,12,10,0,142.2,428,86,34,5.49,1.36
677955,Jaden Hill,Colorado Rockies,P,44,0,1,4,2,37.2,113,37,23,5.5,1.54
687849,Zak Kent,Washington Nationals,P,11,0,0,0,0,16.1,49,12,8,5.51,1.65
663623,Jake Irvin,Washington Nationals,P,20,19,2,9,0,96.1,289,96,46,5.51,1.41
571578,Patrick Corbin,Toronto Blue Jays,P,19,15,3,4,1,80.0,240,63,25,5.51,1.54
679883,Luinder Avila,Kansas City Royals,P,21,12,5,4,0,70.0,210,61,42,5.53,1.61
683175,Connor Phillips,Cincinnati Reds,P,25,0,1,0,1,27.2,83,28,28,5.53,1.77
681751,Lazaro Estrada,Toronto Blue Jays,P,8,0,1,1,1,13.0,39,9,10,5.54,1.38
682227,Brandon Williamson,Cincinnati Reds,P,10,7,4,4,0,43.2,131,31,27,5.56,1.53
571927,Steven Matz,Tampa Bay Rays,P,32,11,5,5,1,76.0,228,56,24,5.57,1.24
687075,Brandon Sproat,Milwaukee Brewers,P,22,19,3,7,0,97.0,291,101,52,5.57,1.44
519141,Drew Pomeranz,Chicago Cubs,P,31,0,2,3,0,29.0,87,17,16,5.59,1.66
656288,Griffin Canning,San Diego Padres,P,28,11,4,9,0,83.2,251,83,38,5.59,1.51
657424,Matt Gage,San Francisco Giants,P,34,0,4,1,1,27.1,82,22,17,5.6,1.65
691725,Andrew Painter,Philadelphia Phillies,P,24,22,3,9,0,120.1,361,106,44,5.61,1.42
676661,Max Lazar,Philadelphia Phillies,P,6,0,0,0,0,8.0,24,5,3,5.63,1.38
668390,Cole Winn,Texas Rangers,P,51,1,5,3,1,48.0,144,49,16,5.63,1.46
663372,Ryan Feltner,Colorado Rockies,P,24,22,6,10,0,116.2,350,88,50,5.63,1.53
671936,Adam Macko,Texas Rangers,P,29,1,2,0,0,28.2,86,30,13,5.65,1.71
592791,Jameson Taillon,Toronto Blue Jays,P,18,18,2,6,0,86.0,258,76,32,5.65,1.36
679358,Eric Orze,Minnesota Twins,P,36,0,2,2,1,41.1,124,36,21,5.66,1.52
622491,Luis Castillo,Chicago White Sox,P,27,23,4,11,0,128.2,386,111,43,5.67,1.48
663903,Brady Singer,Cincinnati Reds,P,30,30,6,15,0,154.0,462,125,60,5.67,1.56
669211,Keegan Akin,Baltimore Orioles,P,24,2,0,1,0,25.1,76,17,9,5.68,1.5
642546,Jonathan Hernández,Los Angeles Dodgers,P,16,0,0,0,0,25.1,76,22,13,5.68,1.34
670090,Wyatt Mills,Los Angeles Dodgers,P,6,0,0,0,0,6.1,19,5,9,5.68,2.21
670183,Garrett Acton,Minnesota Twins,P,7,0,1,1,0,11.0,33,14,6,5.73,1.45
702273,Noah Schultz,Chicago White Sox,P,17,14,3,9,0,69.0,207,63,31,5.74,1.38
665795,Edward Cabrera,Chicago Cubs,P,16,15,5,5,0,78.1,235,70,34,5.74,1.46
